artista,genero,bpm,duracion_seg,clave_musical,modo,instrumental,con_voz,colaboracion,artista_colaborador,fecha_lanzamiento,año,mes,estacion,tipo_lanzamiento,popularidad,reproducciones_previas,hit_viral,dia_semana,trimestre
Calvin Harris,Jazz,111,230,6,1,0,1,1,Cardi B,2013-09-16,2013,9,Otoño,Single,3.157157511654529,1.807011336824122,0,0,3
David Guetta,Jazz,125,170,11,1,0,1,0,,2013-09-17,2013,9,Otoño,Single,18.704367261534674,24.990624543964312,0,1,3
Nicky Jam,Experimental,97,175,10,1,0,1,1,Cardi B,2013-09-18,2013,9,Otoño,Single,100.0,21.74266153415583,0,2,3
Beyoncé,House,146,130,2,1,0,1,0,,2013-09-19,2013,9,Otoño,Album,1.0,11.284509905257746,0,3,3
Miley Cyrus,Blues,99,346,10,0,0,1,1,David Guetta,2013-09-19,2013,9,Otoño,Single,1.0,1.8231965684753992,0,3,3
Harry Styles,Punk,100,192,6,0,1,0,0,,2013-09-20,2013,9,Otoño,Single,58.591613307264865,66.9937709269096,0,4,3
Jhayco,Alternativo,119,246,8,1,0,1,0,,2013-09-21,2013,9,Otoño,Single,2.0726690712657945,2.88800246453271,0,5,3
Ozuna,Lofi,140,194,9,0,0,1,0,,2013-09-21,2013,9,Otoño,Single,100.0,19.532950858365464,1,5,3
Bad Bunny,Experimental,107,501,0,1,1,0,1,Post Malone,2013-09-22,2013,9,Otoño,Single,2.457127611260136,3.1439696551851193,0,6,3
Lil Baby,Soul,65,326,11,0,0,1,1,Camila Cabello,2013-09-22,2013,9,Otoño,Album,100.0,13.960489851240736,0,6,3
Anuel AA,Flamenco,68,335,9,1,0,1,0,,2013-09-23,2013,9,Otoño,Single,1.0476512929691801,1.0590166684193978,0,0,3
Lil Uzi Vert,Funk,76,129,3,1,0,1,1,Sam Smith,2013-09-25,2013,9,Otoño,Single,1.030547226593414,1.0441036924869918,0,2,3
Miley Cyrus,Blues,105,218,5,1,0,1,0,,2013-09-26,2013,9,Otoño,Single,1.0,1.7182140583671681,0,3,3
Adele,R&B,139,275,8,1,0,1,0,,2013-09-28,2013,9,Otoño,Album,1.0,11.526424969315855,0,5,3
Imagine Dragons,Blues,60,245,8,0,0,1,0,,2013-09-28,2013,9,Otoño,Single,1.9405014721695353,17.78322832903161,0,5,3
Justin Bieber,K-Pop,126,304,4,0,0,1,1,DaBaby,2013-10-01,2013,10,Otoño,Single,1.0,7.18487060300922,0,1,4
Kendrick Lamar,Lofi,60,219,5,1,1,0,1,Wisin & Yandel,2013-10-05,2013,10,Otoño,Album,23.227623543902855,18.76978850804239,0,5,4
Charlie Puth,Funk,130,341,5,0,0,1,0,,2013-10-06,2013,10,Otoño,Single,1.0,1.0,0,6,4
Juice WRLD,Trap,130,258,2,0,0,1,1,The Kid LAROI,2013-10-07,2013,10,Otoño,Album,3.4181926369140676,2.0756815331500134,0,0,4
Peso Pluma,Punk,154,253,4,1,0,1,1,Migos,2013-10-08,2013,10,Otoño,Single,1.0,1.0339899186483048,1,1,4
Don Omar,Disco,123,235,9,1,0,1,0,,2013-10-10,2013,10,Otoño,Single,1.7433518738952414,24.12809787128071,0,3,4
Blackpink,Metal,98,474,6,0,0,1,0,,2013-10-11,2013,10,Otoño,Single,4.337969199168373,12.50027530107172,0,4,4
Jhayco,Rock,154,244,7,1,1,0,1,DaBaby,2013-10-13,2013,10,Otoño,Album,1.0,1.9142118761883897,0,6,4
Post Malone,Disco,88,448,1,1,0,1,0,,2013-10-14,2013,10,Otoño,Album,100.0,123.34781038653611,0,0,4
Beyoncé,Hip Hop,150,224,9,0,0,1,1,Anitta,2013-10-17,2013,10,Otoño,Album,1.0,0.7980296880027552,0,3,4
Eminem,Experimental,95,177,8,0,0,1,1,Dua Lipa,2013-10-17,2013,10,Otoño,Single,1.0,1.2531374699986335,0,3,4
Young Thug,Experimental,70,347,10,1,0,1,1,Lewis Capaldi,2013-10-17,2013,10,Otoño,Single,7.411731542000308,2.9918342189653804,1,3,4
Twenty One Pilots,Rock,135,300,11,0,0,1,0,,2013-10-19,2013,10,Otoño,Single,1.0,24.88149570365821,0,5,4
Myke Towers,Reggaeton,74,264,3,0,0,1,1,Demi Lovato,2013-10-23,2013,10,Otoño,Single,15.26611116072804,3.9047713392309893,0,2,4
Taylor Swift,Funk,60,262,9,1,0,1,1,Shawn Mendes,2013-10-25,2013,10,Otoño,Album,1.0,9.005817993477262,0,4,4
Cardi B,K-Pop,109,418,4,1,0,1,1,Katy Perry,2013-10-27,2013,10,Otoño,Single,1.0,27.714118383381656,0,6,4
Ariana Grande,Techno,182,189,11,1,0,1,1,Eminem,2013-10-30,2013,10,Otoño,Single,47.49642288570279,14.881195342843096,0,2,4
Nicky Jam,Experimental,119,137,9,0,1,0,1,Bad Bunny,2013-10-30,2013,10,Otoño,Single,100.0,20.555068861400745,0,2,4
Olivia Rodrigo,Rock,134,259,7,1,0,1,0,,2013-10-30,2013,10,Otoño,Album,1.0,1.0,0,2,4
Wisin & Yandel,Rock,175,283,4,0,0,1,1,Jhayco,2013-11-02,2013,11,Otoño,Single,1.0,1.0,0,5,4
Katy Perry,Synthwave,113,315,7,1,0,1,1,Selena Gomez,2013-11-03,2013,11,Otoño,Single,1.0,1.248710386917363,0,6,4
Manuel Turizo,Disco,63,267,9,1,0,1,1,Maroon 5,2013-11-04,2013,11,Otoño,Album,1.0,0.8527098184582426,0,0,4
Martin Garrix,Country,103,101,1,1,1,0,0,,2013-11-04,2013,11,Otoño,Album,13.532118204610926,10.327203715262522,0,0,4
Rauw Alejandro,Country,93,198,2,0,0,1,0,,2013-11-06,2013,11,Otoño,Album,1.0387660910887468,12.704345804897537,0,2,4
Peso Pluma,Punk,148,406,5,0,1,0,1,Harry Styles,2013-11-07,2013,11,Otoño,Single,1.0,2.4415035384385932,0,3,4
Sebastian Yatra,Pop Latino,146,237,1,1,0,1,0,,2013-11-08,2013,11,Otoño,Album,1.0,1.0,0,4,4
Eminem,Experimental,97,246,0,1,0,1,0,,2013-11-11,2013,11,Otoño,Album,1.0,1.9174043041057698,0,0,4
Kendrick Lamar,Lofi,104,205,1,0,1,0,1,Manuel Turizo,2013-11-12,2013,11,Otoño,Album,84.51830568588467,7.881705482357344,0,1,4
Camila Cabello,Disco,122,155,6,1,0,1,0,,2013-11-13,2013,11,Otoño,Single,6.732596208902879,20.488729569064528,0,2,4
The Kid LAROI,Pop Latino,183,173,8,0,0,1,1,Rosalía,2013-11-13,2013,11,Otoño,Single,1.4375111310777742,1.8689673821516868,0,2,4
David Guetta,Jazz,83,104,1,0,0,1,1,Shakira,2013-11-14,2013,11,Otoño,Album,53.22703069368765,16.09029922555462,0,3,4
Adele,Alternativo,171,231,1,0,0,1,1,Bad Bunny,2013-11-18,2013,11,Otoño,Single,1.0,9.078832601886525,0,0,4
Harry Styles,Punk,161,456,8,1,0,1,0,,2013-11-19,2013,11,Otoño,Single,100.0,47.681493652408086,0,1,4
Anuel AA,Flamenco,80,376,10,0,0,1,1,Paulo Londra,2013-11-21,2013,11,Otoño,Single,2.5346973552781744,9.127745713387034,0,3,4
Billie Eilish,Reggaeton,85,202,2,0,0,1,1,Jack Harlow,2013-11-24,2013,11,Otoño,Single,1.0,1.0,0,6,4
Lil Nas X,Indie,145,112,3,0,0,1,0,,2013-11-24,2013,11,Otoño,Single,1.7987051478855074,33.76977956503194,1,6,4
Anitta,Dance,179,231,10,1,0,1,0,,2013-11-26,2013,11,Otoño,Album,1.0,1.098992778621284,0,1,4
Olivia Rodrigo,Flamenco,114,392,0,1,0,1,0,,2013-11-28,2013,11,Otoño,Single,1.6382736884543914,1.0,1,3,4
Bruno Mars,Rap,109,164,9,1,0,1,0,,2013-11-29,2013,11,Otoño,Single,1.0,3.199755476555218,0,4,4
Don Omar,Urbano,84,122,2,1,0,1,0,,2013-11-30,2013,11,Otoño,Album,4.262096954643635,1.8059792782670656,0,5,4
Twenty One Pilots,Trap,130,427,9,0,0,1,0,,2013-11-30,2013,11,Otoño,Album,1.0,27.222978678943395,0,5,4
J Balvin,Latino,142,193,9,1,0,1,1,Daddy Yankee,2013-12-01,2013,12,Invierno,Single,4.010051239368433,20.135740106684544,0,6,4
Maluma,Hip Hop,101,321,9,1,0,1,1,Anitta,2013-12-01,2013,12,Invierno,Single,1.0,28.955241913093186,0,6,4
Feid,Drill,117,173,2,1,0,1,0,,2013-12-06,2013,12,Invierno,Album,8.854707630293035,2.080409205566613,0,4,4
Karol G,Funk,94,210,4,0,0,1,0,,2013-12-06,2013,12,Invierno,Single,44.88981379674246,9.882243517009899,0,4,4
Martin Garrix,Country,136,263,0,1,0,1,0,,2013-12-06,2013,12,Invierno,Single,25.499133269428583,10.501941143592498,0,4,4
Twenty One Pilots,Electrónica,97,472,9,1,0,1,0,,2013-12-08,2013,12,Invierno,Album,1.0,0.9331265675319877,1,6,4
Alan Walker,Funk,98,252,1,1,0,1,1,Charlie Puth,2013-12-09,2013,12,Invierno,Album,1.0,0.8274478844153654,0,0,4
Imagine Dragons,Blues,83,247,10,0,0,1,0,,2013-12-10,2013,12,Invierno,Single,1.0451612847019534,14.340606167086513,0,1,4
The Kid LAROI,Metal,167,275,8,0,0,1,1,Lil Nas X,2013-12-11,2013,12,Invierno,Album,4.987613902685601,6.153663754001338,0,2,4
Drake,Trap,132,182,10,0,0,1,1,Kanye West,2013-12-16,2013,12,Invierno,Single,53.81513162363317,3.0621191741751796,0,0,4
María Becerra,Jazz,98,173,1,0,0,1,1,Eminem,2013-12-17,2013,12,Invierno,Single,1.5415662595946122,1.0201358606769924,0,1,4
Rihanna,Funk,83,180,10,1,1,0,0,,2013-12-17,2013,12,Invierno,Single,18.42436927439437,29.421705586682407,0,1,4
Charlie Puth,Funk,110,283,11,0,0,1,0,,2013-12-20,2013,12,Invierno,Album,1.0,1.0,0,4,4
Jhayco,Pop,111,346,7,1,0,1,1,Juice WRLD,2013-12-20,2013,12,Invierno,Album,3.0335835684511077,17.81907308881056,0,4,4
Kanye West,Disco,126,209,6,0,0,1,0,,2013-12-20,2013,12,Invierno,Album,3.83171060523994,1.2096698466565503,0,4,4
Megan Thee Stallion,Drill,76,194,2,0,0,1,0,,2013-12-20,2013,12,Invierno,Single,1.0,1.0,0,4,4
Peso Pluma,Punk,133,172,5,1,0,1,1,Harry Styles,2013-12-20,2013,12,Invierno,Single,1.0,5.842472808833951,0,4,4
Zara Larsson,Techno,146,414,0,0,0,1,1,SZA,2013-12-21,2013,12,Invierno,Single,6.2579873768480425,1.2014952655281574,0,5,4
Doja Cat,Experimental,82,597,3,1,1,0,1,Lewis Capaldi,2013-12-23,2013,12,Invierno,Single,1.0,1.4560724006556893,0,0,4
Justin Bieber,Electrónica,149,180,5,1,0,1,0,,2013-12-24,2013,12,Invierno,Album,2.5259250668755167,13.257356219208866,0,1,4
Lil Nas X,Indie,95,121,0,1,1,0,0,,2013-12-24,2013,12,Invierno,Single,28.919170977253525,27.935618544014446,0,1,4
Paulo Londra,Urbano,82,271,3,1,0,1,0,,2013-12-25,2013,12,Invierno,Album,100.0,38.489746766901625,0,2,4
Sam Smith,Funk,135,412,3,1,1,0,1,Taylor Swift,2013-12-26,2013,12,Invierno,Album,7.50482417493327,3.9524800767690778,0,3,4
Tini,Blues,111,200,10,1,0,1,0,,2013-12-28,2013,12,Invierno,Single,1.0,1.0,0,5,4
David Guetta,K-Pop,73,197,6,0,0,1,0,,2013-12-29,2013,12,Invierno,Album,99.21984637564145,27.83381040573863,0,6,4
Lady Gaga,Reggaeton,125,148,8,0,0,1,0,,2014-01-05,2014,1,Invierno,Single,1.0,1.3748822193775532,0,6,1
DaBaby,Indie,113,372,10,0,0,1,0,,2014-01-06,2014,1,Invierno,Single,1.5353360010101618,5.131234409188497,0,0,1
Demi Lovato,Metal,158,300,0,0,0,1,1,Paulo Londra,2014-01-06,2014,1,Invierno,Single,1.0,1.3582952651593974,0,0,1
Travis Scott,K-Pop,139,124,1,0,0,1,0,,2014-01-08,2014,1,Invierno,Album,1.0,2.126259948953651,0,2,1
Ariana Grande,Techno,195,223,10,1,0,1,0,,2014-01-13,2014,1,Invierno,Single,46.18144897308977,25.477972592838558,0,0,1
Farruko,Punk,147,369,0,1,1,0,0,,2014-01-13,2014,1,Invierno,Single,21.701830693865887,5.380159236341306,0,0,1
Shakira,Indie,111,294,3,0,0,1,0,,2014-01-15,2014,1,Invierno,Single,1.0,1.0,0,2,1
Blackpink,Latino,91,195,10,0,0,1,0,,2014-01-18,2014,1,Invierno,Album,1.507238654388759,1.3769238839743705,0,5,1
Charlie Puth,Funk,127,386,2,1,0,1,0,,2014-01-19,2014,1,Invierno,Album,1.0,0.005868835668253469,0,6,1
Jhayco,Rock,115,237,7,0,0,1,0,,2014-01-19,2014,1,Invierno,Single,8.574446138948435,7.429010942494472,0,6,1
Nicki Minaj,Reggaeton,123,240,3,0,0,1,1,Drake,2014-01-19,2014,1,Invierno,Album,34.5227966977749,7.812546248481371,0,6,1
Sam Smith,Funk,108,370,10,0,0,1,0,,2014-01-20,2014,1,Invierno,Album,39.96874392517613,8.855516558174154,0,0,1
Ozuna,Lofi,60,327,4,1,0,1,0,,2014-01-21,2014,1,Invierno,Single,100.0,31.806352181819523,0,1,1
Maroon 5,Flamenco,60,431,10,1,0,1,1,Paulo Londra,2014-01-23,2014,1,Invierno,Album,2.4273006461749165,3.844237740059009,0,3,1
Shakira,Rap,86,242,8,1,0,1,0,,2014-01-23,2014,1,Invierno,Album,1.0,2.9059387464983057,0,3,1
Coldplay,Reggaeton,107,259,10,1,0,1,0,,2014-01-25,2014,1,Invierno,Album,1.0,13.913917017253032,0,5,1
Post Malone,Disco,140,397,6,0,1,0,1,Kanye West,2014-01-25,2014,1,Invierno,Album,100.0,104.08218305696597,0,5,1
Feid,Drill,60,142,9,1,1,0,1,Demi Lovato,2014-01-26,2014,1,Invierno,Album,10.246247559261668,2.9358601278055656,0,6,1
Blackpink,Latino,95,284,5,0,0,1,0,,2014-01-27,2014,1,Invierno,Album,7.23363660012232,1.473276018523399,0,0,1
Calvin Harris,Folk,108,359,1,1,0,1,0,,2014-01-27,2014,1,Invierno,Album,1.0,1.9326394802320546,0,0,1
SZA,Techno,115,339,6,0,0,1,0,,2014-01-27,2014,1,Invierno,Album,1.0,1.1310298585152474,0,0,1
Sam Smith,Funk,94,248,10,0,0,1,0,,2014-01-27,2014,1,Invierno,Single,51.63204658375485,9.218557798099242,0,0,1
BTS,House,170,209,3,0,0,1,0,,2014-01-28,2014,1,Invierno,Album,1.0,1.041498944002196,0,1,1
Lady Gaga,Reggaeton,78,167,0,0,1,0,0,,2014-01-28,2014,1,Invierno,Album,1.027347449881833,16.81628420855965,0,1,1
Anitta,Dance,175,214,6,1,1,0,1,Lil Nas X,2014-01-29,2014,1,Invierno,Single,3.312853953469246,27.67090099991241,0,2,1
Coldplay,Reggaeton,89,273,6,0,0,1,0,,2014-02-01,2014,2,Invierno,Single,1.0,1.1223849700663509,0,5,1
Post Malone,Disco,135,381,7,0,0,1,0,,2014-02-05,2014,2,Invierno,Album,100.0,49.333009166353534,0,2,1
Doja Cat,Experimental,65,443,1,0,0,1,1,Eminem,2014-02-17,2014,2,Invierno,Single,1.0,1.3822817229116755,0,0,1
Maroon 5,Metal,76,281,1,1,0,1,1,Eminem,2014-02-17,2014,2,Invierno,Single,4.362348240592891,4.9418602567835554,0,0,1
Harry Styles,Country,131,570,7,0,0,1,0,,2014-02-19,2014,2,Invierno,Album,100.0,9.114515783303252,1,2,1
Drake,Clásica,82,202,10,1,0,1,1,Shawn Mendes,2014-02-20,2014,2,Invierno,Single,70.74495113240731,18.493723890028292,0,3,1
Kanye West,Soul,94,138,0,0,0,1,0,,2014-02-23,2014,2,Invierno,Album,5.11605061599426,1.5213179631809666,0,6,1
Manuel Turizo,Lofi,133,350,5,0,0,1,1,Ariana Grande,2014-02-25,2014,2,Invierno,Album,1.0,16.63685145593553,0,1,1
Halsey,Funk,105,319,2,0,0,1,1,Nicki Minaj,2014-02-28,2014,2,Invierno,Album,8.415963491703028,7.818345550635538,0,4,1
Rosalía,Pop Latino,104,228,6,0,0,1,1,David Guetta,2014-02-28,2014,2,Invierno,Single,1.0,14.0410964731507,0,4,1
Sebastian Yatra,Pop Latino,103,384,6,0,1,0,0,,2014-03-03,2014,3,Primavera,Album,1.0,1.0,0,0,1
Katy Perry,Synthwave,69,338,4,1,0,1,1,SZA,2014-03-05,2014,3,Primavera,Single,1.0,1.2149440765884574,0,2,1
Shawn Mendes,Hip Hop,124,228,1,1,0,1,1,Maroon 5,2014-03-05,2014,3,Primavera,Single,100.0,54.05149490919225,0,2,1
Young Thug,Experimental,98,188,11,1,1,0,1,Nicky Jam,2014-03-06,2014,3,Primavera,Single,23.176281150661527,2.293454421948259,0,3,1
Dua Lipa,Urbano,90,113,7,1,1,0,1,Twenty One Pilots,2014-03-07,2014,3,Primavera,Single,100.0,5.823676169515327,0,4,1
Calvin Harris,Folk,89,315,11,1,0,1,0,,2014-03-08,2014,3,Primavera,Album,2.296079214736301,23.856520973161274,0,5,1
Adele,Alternativo,107,221,5,1,1,0,1,The Kid LAROI,2014-03-09,2014,3,Primavera,Single,1.0,0.898299559782055,0,6,1
Don Omar,Experimental,70,263,10,1,1,0,1,Katy Perry,2014-03-11,2014,3,Primavera,Single,11.883501873251843,10.751770514331128,0,1,1
Lil Uzi Vert,Funk,80,256,5,1,0,1,0,,2014-03-11,2014,3,Primavera,Single,1.0,0.8103227251990959,0,1,1
Katy Perry,Synthwave,90,145,6,1,0,1,1,Drake,2014-03-12,2014,3,Primavera,Album,2.7862033760802194,6.266475419358304,0,2,1
Maroon 5,Flamenco,118,297,5,0,0,1,1,Katy Perry,2014-03-12,2014,3,Primavera,Album,25.95355716646901,2.8163261931993264,0,2,1
Bruno Mars,Rap,93,155,6,1,0,1,0,,2014-03-14,2014,3,Primavera,Single,1.0,24.699770074284967,0,4,1
The Weeknd,Synthwave,73,411,5,1,0,1,0,,2014-03-14,2014,3,Primavera,Single,13.648778302954234,17.938315862386514,0,4,1
Wisin & Yandel,Rock,161,435,11,0,0,1,1,Peso Pluma,2014-03-15,2014,3,Primavera,Single,1.1883247478081038,0.9503248517467786,0,5,1
Olivia Rodrigo,Experimental,94,241,5,0,0,1,0,,2014-03-18,2014,3,Primavera,Single,1.0,2.2514464088299,0,1,1
Harry Styles,Punk,175,197,7,1,1,0,0,,2014-03-21,2014,3,Primavera,Single,100.0,50.58789496585632,0,4,1
Miley Cyrus,Blues,72,200,0,1,0,1,0,,2014-03-22,2014,3,Primavera,Single,4.919650675295611,1.6846957615287603,0,5,1
Jack Harlow,Punk,134,237,1,1,0,1,0,,2014-03-23,2014,3,Primavera,Single,1.0,1.0,0,6,1
Lewis Capaldi,Punk,99,227,4,1,0,1,0,,2014-03-23,2014,3,Primavera,Album,1.0,29.331934667931517,0,6,1
Beyoncé,Hip Hop,77,175,2,0,0,1,1,J Balvin,2014-03-26,2014,3,Primavera,Album,1.0,9.12926016273488,0,2,1
Young Thug,Experimental,116,429,5,0,1,0,0,,2014-03-26,2014,3,Primavera,Single,85.19990760020828,7.639215028983157,0,2,1
Bad Bunny,Disco,111,535,4,1,0,1,1,Post Malone,2014-03-31,2014,3,Primavera,Single,1.0,2.6755692955732346,0,0,1
Migos,Indie,98,322,7,1,0,1,1,Kanye West,2014-03-31,2014,3,Primavera,Single,1.0,0.8525826927233349,0,0,1
Olivia Rodrigo,Experimental,111,345,7,0,0,1,1,Calvin Harris,2014-03-31,2014,3,Primavera,Album,1.0,1.082207575637461,0,0,1
Selena Gomez,K-Pop,129,110,2,1,0,1,1,Post Malone,2014-03-31,2014,3,Primavera,Single,1.2969032479259117,1.2353851960576645,0,0,1
Daddy Yankee,Indie,95,177,2,1,0,1,1,Peso Pluma,2014-04-02,2014,4,Primavera,Album,1.0,32.13663011285366,0,2,2
Myke Towers,Reggaeton,104,204,1,1,1,0,1,Ed Sheeran,2014-04-06,2014,4,Primavera,Album,46.327650937496195,5.988306704870649,0,6,2
The Weeknd,Synthwave,148,305,8,0,0,1,1,Katy Perry,2014-04-06,2014,4,Primavera,Single,100.0,9.115216490537225,1,6,2
Ed Sheeran,Metal,129,240,8,1,0,1,1,Eminem,2014-04-07,2014,4,Primavera,Single,100.0,11.101674324024692,0,0,2
Lil Baby,Soul,96,145,2,1,0,1,0,,2014-04-08,2014,4,Primavera,Single,100.0,63.024811831560314,0,1,2
Lil Nas X,Indie,133,115,8,0,0,1,1,Daddy Yankee,2014-04-08,2014,4,Primavera,Album,100.0,27.137645131996848,0,1,2
Tini,Blues,121,162,3,0,0,1,0,,2014-04-08,2014,4,Primavera,Album,1.993289961870177,1.0,0,1,2
Lil Uzi Vert,Funk,105,148,1,1,0,1,1,Taylor Swift,2014-04-09,2014,4,Primavera,Single,4.777198567051316,1.0255519825633228,0,2,2
Zara Larsson,Techno,194,243,7,1,1,0,0,,2014-04-13,2014,4,Primavera,Album,4.3365028574207445,18.02315240964441,0,6,2
Rosalía,Clásica,105,144,2,1,0,1,1,Drake,2014-04-15,2014,4,Primavera,Single,1.0,12.632997457130795,0,1,2
Shakira,Indie,148,237,4,1,0,1,0,,2014-04-18,2014,4,Primavera,Album,1.0603108663847973,1.1831941463530522,0,4,2
Young Thug,Rock,60,166,10,1,0,1,0,,2014-04-18,2014,4,Primavera,Single,11.184335135380868,15.116753271785964,0,4,2
Migos,Country,63,332,5,1,0,1,1,Zara Larsson,2014-04-19,2014,4,Primavera,Single,1.0,1.1354604792994294,0,5,2
Jhayco,Pop,200,241,10,1,1,0,1,Ozuna,2014-04-21,2014,4,Primavera,Album,9.99393847670441,17.501410608706855,0,0,2
The Kid LAROI,Metal,102,351,8,0,0,1,1,Myke Towers,2014-04-22,2014,4,Primavera,Album,1.0,2.224347279923919,0,1,2
Adele,Rock,145,169,2,0,0,1,1,Harry Styles,2014-04-25,2014,4,Primavera,Single,1.0,8.75606264788448,0,4,2
Camila Cabello,Disco,119,165,1,0,0,1,1,Feid,2014-04-25,2014,4,Primavera,Single,100.0,27.523281870620465,1,4,2
Rauw Alejandro,Country,110,259,10,1,0,1,0,,2014-04-26,2014,4,Primavera,Album,2.1597124084430894,29.134136903988352,0,5,2
Selena Gomez,K-Pop,140,363,1,0,0,1,1,BTS,2014-04-26,2014,4,Primavera,Single,1.0,20.652136008724167,0,5,2
Taylor Swift,K-Pop,104,158,7,1,0,1,0,,2014-04-30,2014,4,Primavera,Album,1.0,16.838939625274207,0,2,2
Feid,Folk,93,156,7,0,0,1,1,Billie Eilish,2014-05-02,2014,5,Primavera,Single,41.31794011390063,24.7079735662508,0,4,2
Adele,Electrónica,200,194,6,0,1,0,1,Calvin Harris,2014-05-09,2014,5,Primavera,Album,1.0,7.527398736036073,0,4,2
Rauw Alejandro,Country,115,200,6,1,1,0,0,,2014-05-09,2014,5,Primavera,Single,1.4325846430610971,22.55517505333763,0,4,2
Juice WRLD,Trap,80,386,11,1,1,0,1,Blackpink,2014-05-11,2014,5,Primavera,Single,11.25944480252422,5.468634020574412,0,6,2
Rosalía,Pop Latino,110,223,2,1,0,1,1,Nicki Minaj,2014-05-12,2014,5,Primavera,Single,1.0,19.672979358063056,0,0,2
David Guetta,Jazz,90,127,10,1,1,0,0,,2014-05-13,2014,5,Primavera,Single,100.0,5.649564744746412,0,1,2
Taylor Swift,Funk,146,294,0,0,0,1,1,Lil Uzi Vert,2014-05-13,2014,5,Primavera,Single,1.0,29.502655691082044,0,1,2
Young Thug,Rock,77,268,8,0,0,1,0,,2014-05-15,2014,5,Primavera,Album,4.889878686465419,12.219877152724434,0,3,2
Beyoncé,Hip Hop,165,213,1,0,0,1,1,Anitta,2014-05-19,2014,5,Primavera,Single,1.0,10.256800588603742,0,0,2
Don Omar,Experimental,141,216,4,1,0,1,0,,2014-05-20,2014,5,Primavera,Single,1.0,21.893831918777973,0,1,2
Kendrick Lamar,Lofi,94,208,8,0,1,0,1,Blackpink,2014-05-20,2014,5,Primavera,Album,100.0,17.189448463227343,0,1,2
Katy Perry,Synthwave,96,271,7,0,0,1,0,,2014-05-21,2014,5,Primavera,Single,1.0,1.4879302339206102,0,2,2
Lil Nas X,House,110,154,5,1,0,1,0,,2014-05-23,2014,5,Primavera,Album,100.0,36.72296297387439,0,4,2
Dua Lipa,Urbano,104,173,3,0,0,1,1,Rihanna,2014-05-25,2014,5,Primavera,Single,100.0,29.374692807224854,0,6,2
Farruko,Rock,126,385,8,0,0,1,0,,2014-05-25,2014,5,Primavera,Single,16.83669375136923,10.718397816232239,0,6,2
Daddy Yankee,Indie,140,205,2,0,0,1,0,,2014-05-27,2014,5,Primavera,Single,1.0406362987028872,13.535199729531056,0,1,2
Billie Eilish,Reggaeton,67,321,4,0,0,1,0,,2014-05-29,2014,5,Primavera,Single,1.0,23.920185195312957,0,3,2
Twenty One Pilots,Electrónica,115,211,5,1,1,0,1,Shawn Mendes,2014-05-30,2014,5,Primavera,Album,1.0,4.458575904442074,0,4,2
Bruno Mars,Rap,126,216,9,0,0,1,1,Alan Walker,2014-06-03,2014,6,Verano,Single,1.0,21.692168312748034,0,1,2
Zara Larsson,Techno,125,307,11,1,1,0,1,J Balvin,2014-06-04,2014,6,Verano,Single,5.283847084201604,0.88492927293646,0,2,2
Anitta,Dance,136,195,8,1,0,1,1,Lil Nas X,2014-06-05,2014,6,Verano,Album,1.0,1.3798142429799454,0,3,2
Anuel AA,Flamenco,139,298,6,1,1,0,0,,2014-06-05,2014,6,Verano,Album,1.0,1.3258945633742383,0,3,2
Migos,Clásica,83,340,5,0,0,1,0,,2014-06-05,2014,6,Verano,Album,1.0,0.7369638035761737,0,3,2
Taylor Swift,Punk,114,265,5,1,0,1,0,,2014-06-05,2014,6,Verano,Single,1.0,10.68362686115685,0,3,2
DaBaby,Indie,75,300,10,0,0,1,1,Billie Eilish,2014-06-09,2014,6,Verano,Album,100.0,3.9963069100606186,0,0,2
Lil Nas X,Indie,141,108,9,1,0,1,0,,2014-06-10,2014,6,Verano,Single,100.0,46.13060184287009,0,1,2
Billie Eilish,Soul,101,119,4,0,0,1,0,,2014-06-12,2014,6,Verano,Album,1.0,1.0,0,3,2
Ariana Grande,Techno,178,260,4,0,0,1,1,Charlie Puth,2014-06-13,2014,6,Verano,Album,100.0,22.088616961888334,0,4,2
Drake,Clásica,156,321,3,0,0,1,1,Adele,2014-06-14,2014,6,Verano,Album,100.0,16.37490005551801,1,5,2
J Balvin,Synthwave,158,241,2,0,0,1,1,Selena Gomez,2014-06-15,2014,6,Verano,Single,76.1640865378979,12.426482092467536,1,6,2
Maroon 5,Flamenco,131,291,7,0,1,0,1,Post Malone,2014-06-16,2014,6,Verano,Album,28.998270454150795,7.077886374583065,0,0,2
Blackpink,Latino,115,263,0,0,0,1,1,The Weeknd,2014-06-18,2014,6,Verano,Single,1.302903602499827,2.225808002584895,0,2,2
Farruko,Punk,121,485,1,0,0,1,0,,2014-06-19,2014,6,Verano,Single,100.0,10.605065961022849,1,3,2
Eminem,Experimental,74,180,0,1,0,1,1,Doja Cat,2014-06-26,2014,6,Verano,Album,1.0,1.2027734259005278,0,3,2
Cardi B,K-Pop,144,327,2,1,0,1,0,,2014-06-28,2014,6,Verano,Single,1.0,1.1384374374377724,0,5,2
Alan Walker,Funk,72,213,7,1,0,1,1,Lewis Capaldi,2014-07-01,2014,7,Verano,Album,1.0,1.024993817280238,1,1,3
Myke Towers,Reggaeton,87,253,1,0,0,1,0,,2014-07-02,2014,7,Verano,Single,100.0,10.205472964301245,1,2,3
Imagine Dragons,Blues,95,295,7,1,1,0,1,Juice WRLD,2014-07-03,2014,7,Verano,Album,2.031358653059057,28.778245233633662,0,3,3
