artista,genero,bpm,duracion_seg,clave_musical,modo,instrumental,con_voz,colaboracion,artista_colaborador,fecha_lanzamiento,año,mes,dia_semana,estacion,tipo_lanzamiento,calidad_intrinseca,popularidad,categoria_popularidad,exito,hit_viral
Maroon 5,Clásica,87,256,5,0,0,1,1,Tini,2013-05-15,2013,5,2,Primavera,Album,51,52.31,Media,1,0
Olivia Rodrigo,Reggaeton,108,219,11,0,0,1,1,Lil Baby,2013-05-16,2013,5,3,Primavera,Single,44,61.41,Media,1,0
Dua Lipa,Reggaeton,95,269,3,1,0,1,1,SZA,2013-05-17,2013,5,4,Primavera,Single,62,59.32,Media,1,0
Ed Sheeran,Punk,174,187,8,1,0,1,0,,2013-05-18,2013,5,5,Primavera,Album,73,30.16,Media,0,0
Blackpink,Reggaeton,88,266,10,1,0,1,0,,2013-05-22,2013,5,2,Primavera,Single,82,41.35,Media,0,0
Ozuna,Pop,128,191,4,0,1,0,1,Harry Styles,2013-05-25,2013,5,5,Primavera,Album,57,57.96,Media,1,0
J Balvin,Reggaeton,174,221,6,0,0,1,0,,2013-05-26,2013,5,6,Primavera,Single,45,32.7,Media,0,0
Rauw Alejandro,Indie,115,237,3,0,0,1,0,,2013-05-26,2013,5,6,Primavera,Single,44,70.11,Alta,1,1
Daddy Yankee,Indie,109,244,4,0,0,1,0,,2013-06-01,2013,6,5,Verano,Single,31,39.5,Media,0,0
Farruko,Folk,87,196,9,0,0,1,0,,2013-06-03,2013,6,0,Verano,Single,47,42.91,Media,0,0
Calvin Harris,Pop,124,179,6,1,0,1,0,,2013-06-07,2013,6,4,Verano,Single,34,43.06,Media,0,0
Sebastian Yatra,Folk,115,193,0,1,1,0,1,Rihanna,2013-06-09,2013,6,6,Verano,Album,76,53.19,Media,1,0
Taylor Swift,Experimental,93,168,2,0,0,1,1,Juice WRLD,2013-06-09,2013,6,6,Verano,Album,76,86.14,Alta,1,0
Dua Lipa,Reggaeton,102,140,9,0,0,1,1,Kendrick Lamar,2013-06-13,2013,6,3,Verano,Single,66,65.64,Media,1,0
Feid,Blues,137,244,7,0,0,1,0,,2013-06-13,2013,6,3,Verano,Album,65,37.07,Media,0,0
Miley Cyrus,Drill,93,215,11,0,0,1,1,Martin Garrix,2013-06-14,2013,6,4,Verano,Single,45,50.88,Media,1,0
Lady Gaga,Rock,144,202,8,0,0,1,1,Coldplay,2013-06-15,2013,6,5,Verano,Single,54,43.81,Media,0,0
Bad Bunny,Reggaeton,93,203,2,1,0,1,0,,2013-06-16,2013,6,6,Verano,Album,36,47.9,Media,0,0
Ozuna,Hip Hop,84,247,2,1,0,1,1,Shawn Mendes,2013-06-17,2013,6,0,Verano,Single,67,78.81,Alta,1,0
Manuel Turizo,House,106,187,0,1,0,1,0,,2013-06-18,2013,6,1,Verano,Single,66,54.36,Media,1,0
Tini,Reggaeton,102,207,4,0,0,1,0,,2013-06-22,2013,6,5,Verano,Single,43,47.45,Media,0,0
Alan Walker,Techno,118,216,9,1,0,1,1,Manuel Turizo,2013-06-24,2013,6,0,Verano,Album,83,51.18,Media,1,0
Post Malone,Blues,114,196,6,0,0,1,0,,2013-06-24,2013,6,0,Verano,Single,79,51.84,Media,1,0
Myke Towers,Flamenco,104,197,11,0,0,1,0,,2013-06-26,2013,6,2,Verano,Album,38,30.43,Media,0,0
Blackpink,Reggaeton,99,267,5,1,1,0,0,,2013-07-01,2013,7,0,Verano,Single,62,54.57,Media,1,0
Daddy Yankee,Folk,119,235,9,0,0,1,0,,2013-07-06,2013,7,5,Verano,Single,49,41.93,Media,0,0
Rihanna,Trap,113,186,9,1,0,1,0,,2013-07-09,2013,7,1,Verano,Single,88,38.65,Media,0,0
Megan Thee Stallion,Electrónica,159,166,0,0,0,1,0,,2013-07-10,2013,7,2,Verano,Album,68,61.05,Media,1,0
Charlie Puth,Drill,105,178,1,1,0,1,1,Juice WRLD,2013-07-11,2013,7,3,Verano,Album,85,53.26,Media,1,0
Lil Baby,Pop,99,220,8,1,0,1,0,,2013-07-13,2013,7,5,Verano,Album,73,58.43,Media,1,0
Shakira,Blues,129,246,2,0,1,0,0,,2013-07-15,2013,7,0,Verano,Single,82,68.95,Media,1,0
Jhayco,Electrónica,139,241,6,1,1,0,0,,2013-07-16,2013,7,1,Verano,Single,69,52.12,Media,1,0
Rosalía,Funk,114,179,2,0,1,0,0,,2013-07-16,2013,7,1,Verano,Single,79,75.83,Alta,1,0
Feid,Trap,122,214,2,1,0,1,1,Calvin Harris,2013-07-19,2013,7,4,Verano,Album,47,44.57,Media,0,0
Halsey,Synthwave,90,164,7,1,0,1,0,,2013-07-19,2013,7,4,Verano,Single,76,69.07,Media,1,0
Maluma,Indie,124,204,10,0,0,1,0,,2013-07-20,2013,7,5,Verano,Single,32,29.27,Baja,0,0
Lil Uzi Vert,Indie,108,214,7,1,0,1,0,,2013-07-21,2013,7,6,Verano,Album,47,32.74,Media,0,0
María Becerra,Reggaeton,88,181,0,1,0,1,0,,2013-07-24,2013,7,2,Verano,Single,74,48.32,Media,0,0
Blackpink,Rap,106,258,10,0,0,1,0,,2013-07-25,2013,7,3,Verano,Album,68,58.09,Media,1,0
Shawn Mendes,R&B,96,221,8,1,0,1,0,,2013-07-25,2013,7,3,Verano,Single,70,41.08,Media,0,0
Zara Larsson,Pop,86,200,4,0,0,1,0,,2013-07-25,2013,7,3,Verano,Single,50,45.99,Media,0,0
Sam Smith,Trap,144,218,5,1,0,1,1,Coldplay,2013-07-28,2013,7,6,Verano,Single,70,57.15,Media,1,0
Bruno Mars,Country,106,160,0,1,0,1,0,,2013-07-31,2013,7,2,Verano,Single,88,74.1,Alta,1,0
Camila Cabello,Country,94,233,7,0,0,1,0,,2013-07-31,2013,7,2,Verano,Single,66,80.46,Alta,1,1
Coldplay,Trap,140,206,7,0,0,1,0,,2013-07-31,2013,7,2,Verano,Album,55,69.44,Media,1,0
Juice WRLD,Drill,92,198,0,0,0,1,0,,2013-08-03,2013,8,5,Verano,Single,38,52.26,Media,1,0
Jhayco,Trap,150,211,4,0,0,1,0,,2013-08-05,2013,8,0,Verano,Album,47,37.93,Media,0,0
Wisin & Yandel,R&B,87,225,0,1,1,0,0,,2013-08-07,2013,8,2,Verano,Album,37,28.86,Baja,0,0
Kanye West,Lofi,100,177,1,0,0,1,0,,2013-08-08,2013,8,3,Verano,Single,46,25.2,Baja,0,0
María Becerra,Reggaeton,105,230,2,0,0,1,1,Jhayco,2013-08-08,2013,8,3,Verano,Single,77,53.65,Media,1,0
Selena Gomez,Jazz,160,179,0,1,0,1,1,Wisin & Yandel,2013-08-08,2013,8,3,Verano,Album,89,76.99,Alta,1,0
BTS,K-Pop,81,238,8,1,0,1,0,,2013-08-10,2013,8,5,Verano,Single,45,28.95,Baja,0,0
Doja Cat,Flamenco,132,148,3,0,0,1,0,,2013-08-13,2013,8,1,Verano,Single,48,43.59,Media,0,0
DaBaby,Experimental,117,227,1,0,0,1,0,,2013-08-14,2013,8,2,Verano,Single,71,34.67,Media,0,0
Travis Scott,Tropical,95,280,5,1,0,1,1,Lil Nas X,2013-08-16,2013,8,4,Verano,Album,44,46.89,Media,0,0
The Weeknd,R&B,154,151,1,1,0,1,0,,2013-08-19,2013,8,0,Verano,Single,42,26.23,Baja,0,0
Twenty One Pilots,R&B,78,223,10,1,0,1,0,,2013-08-19,2013,8,0,Verano,Single,42,36.56,Media,0,0
Zara Larsson,R&B,87,140,8,0,0,1,0,,2013-08-20,2013,8,1,Verano,Album,58,51.76,Media,1,0
Cardi B,Lofi,124,159,2,0,1,0,0,,2013-08-23,2013,8,4,Verano,Single,52,39.03,Media,0,0
Rauw Alejandro,Indie,109,269,3,0,0,1,0,,2013-08-23,2013,8,4,Verano,Album,78,60.73,Media,1,0
Post Malone,Clásica,121,185,7,1,0,1,0,,2013-08-25,2013,8,6,Verano,Single,47,38.94,Media,0,0
Rihanna,Folk,95,190,9,1,0,1,0,,2013-08-28,2013,8,2,Verano,Single,46,24.5,Baja,0,0
Juice WRLD,Urbano,103,220,0,1,1,0,0,,2013-09-02,2013,9,0,Otoño,Single,77,53.87,Media,1,0
Young Thug,Alternativo,86,143,4,1,0,1,1,Kendrick Lamar,2013-09-03,2013,9,1,Otoño,Single,72,100.0,Alta,1,1
Twenty One Pilots,Experimental,80,148,8,1,0,1,0,,2013-09-05,2013,9,3,Otoño,Album,53,32.0,Media,0,0
Martin Garrix,Rock,79,160,10,0,0,1,0,,2013-09-06,2013,9,4,Otoño,Single,66,34.34,Media,0,0
Nicki Minaj,Electrónica,129,180,2,1,1,0,1,SZA,2013-09-10,2013,9,1,Otoño,Album,43,28.89,Baja,0,0
Farruko,Rock,126,269,9,1,0,1,0,,2013-09-12,2013,9,3,Otoño,Single,54,34.58,Media,0,0
Adele,Hip Hop,111,185,3,0,0,1,0,,2013-09-14,2013,9,5,Otoño,Album,41,30.41,Media,0,0
Beyoncé,House,146,185,2,1,0,1,0,,2013-09-14,2013,9,5,Otoño,Single,63,41.86,Media,0,0
Myke Towers,Flamenco,84,281,0,1,0,1,1,Shakira,2013-09-15,2013,9,6,Otoño,Single,79,41.0,Media,0,0
Olivia Rodrigo,Reggaeton,104,184,5,1,0,1,1,David Guetta,2013-09-15,2013,9,6,Otoño,Album,30,42.04,Media,0,0
Maroon 5,Rap,127,252,0,1,0,1,0,,2013-09-16,2013,9,0,Otoño,Single,51,37.77,Media,0,0
Anuel AA,Lofi,92,167,2,1,0,1,1,Farruko,2013-09-20,2013,9,4,Otoño,Album,43,40.39,Media,0,0
SZA,Soul,125,203,0,0,0,1,1,Doja Cat,2013-09-25,2013,9,2,Otoño,Single,48,22.88,Baja,0,0
Harry Styles,Funk,83,230,8,1,0,1,0,,2013-09-28,2013,9,5,Otoño,Single,56,27.04,Baja,0,0
Kendrick Lamar,Metal,145,206,0,1,0,1,1,Lil Uzi Vert,2013-09-30,2013,9,0,Otoño,Album,68,29.43,Baja,0,0
Martin Garrix,Lofi,124,168,2,0,0,1,0,,2013-10-01,2013,10,1,Otoño,Album,52,30.85,Media,0,0
Billie Eilish,K-Pop,116,242,10,1,1,0,0,,2013-10-02,2013,10,2,Otoño,Single,88,45.53,Media,0,0
Sebastian Yatra,Trap,121,176,0,1,0,1,0,,2013-10-02,2013,10,2,Otoño,Album,37,36.59,Media,0,0
Twenty One Pilots,Jazz,89,158,6,0,0,1,1,Anuel AA,2013-10-02,2013,10,2,Otoño,Album,35,35.62,Media,0,0
Anitta,Punk,123,205,0,0,0,1,1,Ed Sheeran,2013-10-03,2013,10,3,Otoño,Single,48,44.77,Media,0,0
Bad Bunny,Reggaeton,99,177,11,1,0,1,1,Kendrick Lamar,2013-10-04,2013,10,4,Otoño,Single,26,35.56,Media,0,0
Coldplay,Trap,86,200,6,0,1,0,0,,2013-10-04,2013,10,4,Otoño,Album,64,51.01,Media,1,0
Daddy Yankee,Indie,98,175,9,1,0,1,0,,2013-10-04,2013,10,4,Otoño,Single,72,38.9,Media,0,0
David Guetta,Reggaeton,109,280,8,1,0,1,0,,2013-10-07,2013,10,0,Otoño,Album,59,47.73,Media,0,0
Migos,Folk,130,192,9,1,0,1,0,,2013-10-08,2013,10,1,Otoño,Album,70,38.14,Media,0,0
Karol G,Trap,106,166,2,0,0,1,1,Alan Walker,2013-10-09,2013,10,2,Otoño,Single,59,42.32,Media,0,0
Peso Pluma,Country,120,245,8,0,0,1,0,,2013-10-09,2013,10,2,Otoño,Single,80,39.83,Media,0,0
Kanye West,Punk,123,151,9,0,0,1,0,,2013-10-10,2013,10,3,Otoño,Album,83,31.45,Media,0,0
Lil Baby,Soul,100,265,4,0,0,1,0,,2013-10-10,2013,10,3,Otoño,Album,43,31.09,Media,0,0
Imagine Dragons,Electrónica,138,213,3,0,1,0,0,,2013-10-12,2013,10,5,Otoño,Album,37,22.24,Baja,0,0
Blackpink,Reggaeton,93,244,6,0,0,1,0,,2013-10-15,2013,10,1,Otoño,Single,81,43.57,Media,0,0
Beyoncé,Indie,150,195,6,1,0,1,1,Bad Bunny,2013-10-16,2013,10,2,Otoño,Album,27,37.85,Media,0,0
Billie Eilish,Country,88,188,11,1,0,1,0,,2013-10-16,2013,10,2,Otoño,Single,84,49.19,Media,0,0
Demi Lovato,Indie,129,190,8,0,0,1,0,,2013-10-16,2013,10,2,Otoño,Single,50,33.36,Media,0,0
Alan Walker,Trap,104,187,0,0,0,1,0,,2013-10-17,2013,10,3,Otoño,Single,30,27.77,Baja,0,0
Tini,Jazz,95,245,1,0,0,1,1,Selena Gomez,2013-10-17,2013,10,3,Otoño,Album,62,49.47,Media,0,0
Dua Lipa,Reggaeton,90,288,3,1,0,1,0,,2013-10-18,2013,10,4,Otoño,Single,70,50.42,Media,1,0
Maroon 5,Reggaeton,94,179,11,0,0,1,1,BTS,2013-10-19,2013,10,5,Otoño,Single,42,38.57,Media,0,0
Karol G,Trap,91,229,7,1,1,0,0,,2013-10-20,2013,10,6,Otoño,Single,29,32.77,Media,0,0
Paulo Londra,Techno,159,164,6,0,0,1,0,,2013-10-20,2013,10,6,Otoño,Single,51,56.07,Media,1,1
Travis Scott,R&B,120,232,3,1,0,1,1,Katy Perry,2013-10-20,2013,10,6,Otoño,Single,80,44.85,Media,0,0
Ariana Grande,Experimental,113,253,9,1,0,1,0,,2013-10-23,2013,10,2,Otoño,Album,78,38.99,Media,0,0
The Kid LAROI,Folk,89,208,0,0,0,1,1,Lil Baby,2013-10-23,2013,10,2,Otoño,Album,53,28.46,Baja,0,0
Lil Nas X,Blues,94,204,6,1,1,0,0,,2013-10-24,2013,10,3,Otoño,Single,70,36.91,Media,0,0
Calvin Harris,House,112,163,4,0,0,1,0,,2013-10-25,2013,10,4,Otoño,Single,80,38.62,Media,0,0
Zara Larsson,R&B,75,204,7,1,0,1,0,,2013-10-26,2013,10,5,Otoño,Single,59,38.31,Media,0,0
Jack Harlow,R&B,88,177,3,1,0,1,1,Peso Pluma,2013-10-27,2013,10,6,Otoño,Single,96,60.33,Media,1,0
Harry Styles,Blues,99,179,7,1,0,1,1,Shakira,2013-10-29,2013,10,1,Otoño,Single,49,29.22,Baja,0,0
Lil Baby,Reggaeton,98,209,2,0,0,1,1,David Guetta,2013-11-03,2013,11,6,Otoño,Single,57,45.09,Media,0,0
Katy Perry,Lofi,100,167,6,1,0,1,0,,2013-11-04,2013,11,0,Otoño,Single,39,38.61,Media,0,0
Ozuna,Pop Latino,85,206,4,1,0,1,1,Young Thug,2013-11-08,2013,11,4,Otoño,Album,41,49.42,Media,0,0
Anitta,Punk,132,278,10,0,0,1,0,,2013-11-10,2013,11,6,Otoño,Single,83,46.0,Media,0,0
Ariana Grande,Drill,92,215,3,0,0,1,0,,2013-11-11,2013,11,0,Otoño,Single,76,37.08,Media,0,0
Justin Bieber,Blues,121,162,7,0,0,1,0,,2013-11-11,2013,11,0,Otoño,Album,65,43.69,Media,0,0
J Balvin,Jazz,174,185,6,0,0,1,0,,2013-11-12,2013,11,1,Otoño,Single,60,39.63,Media,0,0
Cardi B,Lofi,92,147,6,0,0,1,0,,2013-11-13,2013,11,2,Otoño,Single,46,33.72,Media,0,0
Calvin Harris,Dance,123,172,8,0,0,1,0,,2013-11-14,2013,11,3,Otoño,Album,68,65.39,Media,1,1
Shawn Mendes,R&B,105,244,5,0,0,1,0,,2013-11-14,2013,11,3,Otoño,Single,40,24.32,Baja,0,0
Drake,Jazz,107,219,2,1,0,1,0,,2013-11-15,2013,11,4,Otoño,Single,79,30.84,Media,0,0
Karol G,Urbano,129,230,3,0,0,1,1,BTS,2013-11-15,2013,11,4,Otoño,Single,73,47.46,Media,0,0
Maluma,Latino,106,217,4,1,0,1,1,Doja Cat,2013-11-15,2013,11,4,Otoño,Album,59,35.01,Media,0,0
Charlie Puth,Drill,113,184,0,0,1,0,0,,2013-11-22,2013,11,4,Otoño,Single,38,27.02,Baja,0,0
Ed Sheeran,Rock,154,161,7,0,0,1,0,,2013-11-23,2013,11,5,Otoño,Album,72,30.47,Media,0,0
Rauw Alejandro,Hip Hop,108,226,1,1,0,1,0,,2013-11-24,2013,11,6,Otoño,Single,52,33.42,Media,0,0
Alan Walker,Trap,121,239,1,0,1,0,1,Coldplay,2013-11-27,2013,11,2,Otoño,Single,43,40.46,Media,0,0
Lil Nas X,Blues,98,232,6,1,0,1,1,Feid,2013-11-29,2013,11,4,Otoño,Single,50,34.47,Media,0,0
Manuel Turizo,Flamenco,113,155,3,1,0,1,0,,2013-11-29,2013,11,4,Otoño,Single,81,37.17,Media,0,0
Don Omar,Punk,159,195,6,0,0,1,0,,2013-11-30,2013,11,5,Otoño,Single,83,38.27,Media,0,0
Feid,Trap,136,250,6,0,0,1,1,Bad Bunny,2013-12-01,2013,12,6,Invierno,Single,55,68.62,Media,1,1
María Becerra,Latino,95,213,8,0,0,1,0,,2013-12-02,2013,12,0,Invierno,Single,31,31.76,Media,0,0
Jhayco,Clásica,145,201,4,1,0,1,0,,2013-12-06,2013,12,4,Invierno,Single,81,49.97,Media,0,0
Katy Perry,R&B,107,172,1,1,0,1,0,,2013-12-07,2013,12,5,Invierno,Single,59,49.3,Media,0,0
Lewis Capaldi,Pop Latino,117,227,3,1,1,0,0,,2013-12-07,2013,12,5,Invierno,Album,48,31.16,Media,0,0
Olivia Rodrigo,Reggaeton,104,212,0,1,0,1,1,Tini,2013-12-07,2013,12,5,Invierno,Album,28,53.36,Media,1,0
Drake,Flamenco,91,270,2,1,0,1,1,Manuel Turizo,2013-12-10,2013,12,1,Invierno,Single,56,35.49,Media,0,0
Selena Gomez,Jazz,121,180,11,1,0,1,0,,2013-12-13,2013,12,4,Invierno,Single,92,56.91,Media,1,0
Nicky Jam,Rock,149,220,11,0,0,1,0,,2013-12-14,2013,12,5,Invierno,Single,88,69.35,Media,1,1
Charlie Puth,Blues,117,249,11,0,0,1,1,Paulo Londra,2013-12-19,2013,12,3,Invierno,Single,71,40.33,Media,0,0
Eminem,Funk,82,245,1,0,0,1,0,,2013-12-19,2013,12,3,Invierno,Single,73,27.07,Baja,0,0
Martin Garrix,Drill,145,191,2,1,1,0,1,Charlie Puth,2013-12-19,2013,12,3,Invierno,Album,82,47.56,Media,0,0
Bad Bunny,Reggaeton,88,219,3,0,0,1,0,,2013-12-20,2013,12,4,Invierno,Album,71,50.1,Media,1,0
Megan Thee Stallion,Trap,138,181,1,0,0,1,0,,2013-12-21,2013,12,5,Invierno,Single,62,37.52,Media,0,0
Sam Smith,Funk,93,145,7,1,0,1,1,Maluma,2013-12-25,2013,12,2,Invierno,Album,36,27.88,Baja,0,0
Manuel Turizo,Flamenco,106,247,3,1,0,1,0,,2013-12-27,2013,12,4,Invierno,Single,33,57.09,Media,1,1
Adele,Urbano,124,181,1,1,0,1,0,,2013-12-31,2013,12,1,Invierno,Album,88,57.06,Media,1,0
Maroon 5,Rap,91,271,0,0,0,1,0,,2013-12-31,2013,12,1,Invierno,Single,33,44.44,Media,0,0
Halsey,Synthwave,102,163,6,1,0,1,0,,2014-01-01,2014,1,2,Invierno,Single,76,58.05,Media,1,0
DaBaby,Experimental,129,281,1,0,0,1,0,,2014-01-04,2014,1,5,Invierno,Single,41,21.64,Baja,0,0
Rihanna,Trap,129,173,8,0,0,1,1,Megan Thee Stallion,2014-01-04,2014,1,5,Invierno,Album,47,28.23,Baja,0,0
Taylor Swift,Flamenco,106,149,5,1,0,1,0,,2014-01-04,2014,1,5,Invierno,Album,25,37.59,Media,0,0
Paulo Londra,Techno,159,212,11,1,0,1,0,,2014-01-05,2014,1,6,Invierno,Single,49,25.32,Baja,0,0
Alan Walker,Trap,127,266,8,0,0,1,1,Coldplay,2014-01-06,2014,1,0,Invierno,Album,33,29.43,Baja,0,0
Tini,Reggaeton,98,251,7,0,0,1,1,Ariana Grande,2014-01-06,2014,1,0,Invierno,Single,77,51.55,Media,1,0
Sam Smith,Trap,114,163,5,0,0,1,1,Nicky Jam,2014-01-09,2014,1,3,Invierno,Album,61,32.28,Media,0,0
David Guetta,Experimental,129,204,1,1,0,1,0,,2014-01-10,2014,1,4,Invierno,Album,50,32.55,Media,0,0
Maroon 5,Reggaeton,127,221,3,1,0,1,0,,2014-01-10,2014,1,4,Invierno,Single,58,46.41,Media,0,0
Wisin & Yandel,R&B,80,242,3,1,0,1,1,Eminem,2014-01-10,2014,1,4,Invierno,Album,41,27.43,Baja,0,0
Lady Gaga,Rock,151,185,9,0,0,1,1,Megan Thee Stallion,2014-01-13,2014,1,0,Invierno,Album,80,51.88,Media,1,0
Maluma,Indie,92,186,4,0,0,1,0,,2014-01-14,2014,1,1,Invierno,Album,31,35.67,Media,0,1
Jack Harlow,R&B,100,185,5,0,1,0,1,Rauw Alejandro,2014-01-16,2014,1,3,Invierno,Single,59,66.74,Media,1,0
The Weeknd,Punk,135,184,6,0,0,1,1,Coldplay,2014-01-18,2014,1,5,Invierno,Album,43,22.51,Baja,0,0
Anuel AA,Jazz,95,206,7,0,1,0,0,,2014-01-20,2014,1,0,Invierno,Single,67,66.19,Media,1,1
Harry Styles,Funk,85,196,6,1,0,1,0,,2014-01-20,2014,1,0,Invierno,Single,30,21.47,Baja,0,0
Justin Bieber,Blues,89,290,1,0,1,0,0,,2014-01-20,2014,1,0,Invierno,Single,71,67.5,Media,1,1
Beyoncé,House,131,155,3,0,1,0,0,,2014-01-21,2014,1,1,Invierno,Album,54,50.58,Media,1,0
Eminem,Funk,126,210,5,0,0,1,0,,2014-01-21,2014,1,1,Invierno,Single,78,33.77,Media,0,0
Myke Towers,Flamenco,114,209,2,0,0,1,1,Bad Bunny,2014-01-29,2014,1,2,Invierno,Album,70,84.19,Alta,1,1
Camila Cabello,Country,115,253,5,0,0,1,0,,2014-01-30,2014,1,3,Invierno,Album,64,34.84,Media,0,0
Juice WRLD,Urbano,90,176,7,0,0,1,1,Bruno Mars,2014-01-31,2014,1,4,Invierno,Album,81,100.0,Alta,1,1
Blackpink,Reggaeton,101,237,6,1,0,1,0,,2014-02-01,2014,2,5,Invierno,Single,74,46.96,Media,0,0
Calvin Harris,Pop,125,157,4,0,0,1,0,,2014-02-01,2014,2,5,Invierno,Album,67,38.33,Media,0,0
J Balvin,Rock,152,232,6,1,0,1,0,,2014-02-04,2014,2,1,Invierno,Album,29,23.56,Baja,0,0
Zara Larsson,R&B,89,235,6,1,0,1,0,,2014-02-08,2014,2,5,Invierno,Album,36,27.87,Baja,0,0
Miley Cyrus,Metal,119,215,5,0,0,1,0,,2014-02-09,2014,2,6,Invierno,Album,60,39.91,Media,0,0
Daddy Yankee,Soul,96,198,2,1,0,1,1,Doja Cat,2014-02-12,2014,2,2,Invierno,Album,44,70.28,Alta,1,1
Dua Lipa,Reggaeton,98,263,9,0,0,1,0,,2014-02-13,2014,2,3,Invierno,Album,73,99.57,Alta,1,1
Rihanna,Trap,71,179,8,0,1,0,0,,2014-02-13,2014,2,3,Invierno,Single,58,20.01,Baja,0,0
Ariana Grande,Hip Hop,117,268,3,0,1,0,0,,2014-02-15,2014,2,5,Invierno,Single,65,35.69,Media,0,0
Bruno Mars,House,92,213,11,1,0,1,0,,2014-02-15,2014,2,5,Invierno,Single,83,55.43,Media,1,0
Lil Uzi Vert,Indie,87,227,0,1,1,0,0,,2014-02-15,2014,2,5,Invierno,Single,61,34.15,Media,0,0
Ozuna,Folk,130,214,5,1,0,1,0,,2014-02-17,2014,2,0,Invierno,Album,70,41.01,Media,0,0
Sam Smith,Metal,136,216,7,1,0,1,0,,2014-02-17,2014,2,0,Invierno,Single,38,23.93,Baja,0,0
Ed Sheeran,Punk,169,220,8,1,0,1,1,Rihanna,2014-02-18,2014,2,1,Invierno,Album,86,34.62,Media,0,0
Rosalía,Techno,107,261,7,0,0,1,1,Demi Lovato,2014-02-21,2014,2,4,Invierno,Single,31,46.66,Media,0,0
Shakira,Blues,85,239,4,1,1,0,0,,2014-02-21,2014,2,4,Invierno,Album,83,44.27,Media,0,0
Travis Scott,Tropical,115,176,9,0,0,1,0,,2014-02-21,2014,2,4,Invierno,Single,49,25.7,Baja,0,0
Anitta,Hip Hop,118,268,0,1,0,1,1,Karol G,2014-02-26,2014,2,2,Invierno,Single,40,43.33,Media,0,0
Lil Nas X,Urbano,127,204,2,0,0,1,1,Megan Thee Stallion,2014-02-27,2014,2,3,Invierno,Album,32,31.9,Media,0,0
Peso Pluma,Country,91,236,11,0,0,1,0,,2014-02-27,2014,2,3,Invierno,Single,68,38.76,Media,0,0
Juice WRLD,Urbano,107,192,4,0,0,1,0,,2014-03-06,2014,3,3,Primavera,Single,74,91.14,Alta,1,1
Rauw Alejandro,Experimental,99,263,10,1,0,1,1,Feid,2014-03-06,2014,3,3,Primavera,Single,38,41.57,Media,0,0
Doja Cat,Flamenco,91,207,10,1,0,1,0,,2014-03-07,2014,3,4,Primavera,Single,72,64.87,Media,1,1
Farruko,Urbano,93,171,9,1,0,1,0,,2014-03-07,2014,3,4,Primavera,Single,52,35.38,Media,0,0
Feid,Trap,95,221,7,1,0,1,1,Coldplay,2014-03-07,2014,3,4,Primavera,Single,54,38.02,Media,0,0
Tini,Reggaeton,105,184,2,1,0,1,0,,2014-03-10,2014,3,0,Primavera,Album,31,32.37,Media,0,0
Bad Bunny,Folk,103,219,8,1,0,1,1,Sebastian Yatra,2014-03-11,2014,3,1,Primavera,Album,67,57.41,Media,1,0
David Guetta,K-Pop,114,255,10,1,0,1,0,,2014-03-11,2014,3,1,Primavera,Single,65,58.9,Media,1,0
Alan Walker,Trap,92,178,6,0,0,1,1,Beyoncé,2014-03-12,2014,3,2,Primavera,Single,25,37.7,Media,0,0
Juice WRLD,Urbano,98,210,4,1,0,1,1,Jack Harlow,2014-03-17,2014,3,0,Primavera,Single,64,58.66,Media,1,0
SZA,Synthwave,93,254,3,0,0,1,1,Miley Cyrus,2014-03-18,2014,3,1,Primavera,Single,48,24.08,Baja,0,0
Kendrick Lamar,Disco,114,143,8,0,0,1,0,,2014-03-21,2014,3,4,Primavera,Single,68,47.49,Media,0,1
Lil Baby,Reggaeton,101,182,5,1,1,0,1,The Kid LAROI,2014-03-22,2014,3,5,Primavera,Single,79,55.76,Media,1,0
Twenty One Pilots,Jazz,100,250,2,1,0,1,0,,2014-03-23,2014,3,6,Primavera,Single,40,36.8,Media,0,0
Drake,Disco,111,233,1,0,0,1,1,Rosalía,2014-03-28,2014,3,4,Primavera,Single,58,40.57,Media,0,0
Imagine Dragons,Electrónica,122,234,3,0,1,0,0,,2014-03-28,2014,3,4,Primavera,Single,41,26.18,Baja,0,0
Nicki Minaj,Urbano,128,161,10,1,0,1,0,,2014-03-28,2014,3,4,Primavera,Album,64,40.05,Media,0,0
Eminem,Funk,117,236,1,1,0,1,0,,2014-03-29,2014,3,5,Primavera,Album,31,20.82,Baja,0,0
Taylor Swift,Country,92,164,4,1,0,1,0,,2014-03-30,2014,3,6,Primavera,Single,67,65.18,Media,1,0
SZA,Pop Latino,105,232,2,0,0,1,0,,2014-03-31,2014,3,0,Primavera,Single,84,36.52,Media,0,0
Coldplay,Trap,90,209,2,1,1,0,1,Demi Lovato,2014-04-01,2014,4,1,Primavera,Single,88,70.23,Alta,1,0
Kendrick Lamar,Punk,155,185,6,1,0,1,1,Anuel AA,2014-04-01,2014,4,1,Primavera,Album,76,53.6,Media,1,0
Dua Lipa,Reggaeton,99,230,3,1,0,1,0,,2014-04-02,2014,4,2,Primavera,Single,47,58.31,Media,1,0
Sebastian Yatra,Folk,89,240,1,1,0,1,1,The Kid LAROI,2014-04-03,2014,4,3,Primavera,Single,86,58.37,Media,1,0
Charlie Puth,Lofi,102,233,0,0,0,1,0,,2014-04-05,2014,4,5,Primavera,Single,89,42.79,Media,0,0
